iter	Passed	Remaining
0	147	147023
1	148	74215
2	150	49966
3	151	37710
4	152	30299
5	153	25417
6	154	21881
7	154	19210
8	156	17234
9	158	15691
10	159	14342
11	160	13212
12	162	12303
13	162	11461
14	163	10721
15	164	10094
16	165	9553
17	166	9057
18	166	8608
19	167	8214
20	168	7858
21	169	7525
22	170	7222
23	170	6944
24	171	6691
25	172	6454
26	173	6235
27	173	6030
28	174	5838
29	174	5656
30	175	5486
31	176	5327
32	176	5175
33	177	5032
34	177	4898
35	178	4769
36	178	4649
37	179	4534
38	179	4426
39	180	4323
40	180	4226
41	181	4135
42	181	4047
43	182	3966
44	183	3886
45	183	3808
46	184	3734
47	184	3662
48	185	3596
49	185	3531
50	186	3470
51	187	3410
52	187	3352
53	188	3297
54	188	3243
55	189	3190
56	189	3140
57	190	3090
58	190	3043
59	191	2997
60	191	2953
61	192	2909
62	192	2868
63	193	2828
64	193	2788
65	194	2751
66	194	2713
67	195	2678
68	195	2643
69	196	2610
70	196	2577
71	197	2545
72	198	2514
73	198	2483
74	199	2454
75	199	2425
76	200	2398
77	200	2371
78	201	2347
79	201	2322
80	202	2299
81	203	2275
82	203	2250
83	204	2227
84	204	2204
85	205	2181
86	205	2159
87	206	2137
88	206	2116
89	207	2096
90	207	2075
91	208	2055
92	208	2037
93	209	2019
94	209	2000
95	210	1983
96	211	1966
97	211	1949
98	212	1931
99	212	1914
100	213	1898
101	213	1882
102	214	1867
103	214	1852
104	215	1837
105	216	1823
106	216	1810
107	217	1796
108	218	1783
109	218	1769
110	219	1755
111	219	1741
112	220	1728
113	220	1715
114	221	1702
115	221	1689
116	222	1676
117	222	1663
118	223	1651
119	223	1639
120	224	1627
121	224	1615
122	225	1605
123	225	1595
124	226	1585
125	227	1575
126	227	1564
127	228	1554
128	228	1545
129	229	1536
130	230	1526
131	230	1517
132	231	1508
133	231	1499
134	232	1490
135	233	1481
136	233	1473
137	234	1466
138	235	1458
139	236	1451
140	236	1442
141	237	1432
142	237	1424
143	238	1416
144	238	1408
145	239	1400
146	239	1392
